URL,Full Lockdown,Partial Lockdown,Date,Time,Shift
big muddy river correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 17:01:02.767024-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 17:10:45.146899-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 17:22:48.726563-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 18:21:41.119750-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 20:47:07.524848-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 22:00:21.811049-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
centralia correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
danville correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
decatur correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
dixon correctional center,1,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
east moline correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
graham correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
hill correctional center,1,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
illinois river correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
jacksonville correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
lawrence correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
lincoln correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
logan correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
menard correctional center,1,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
joliet treatment center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
robinson correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
shawnee correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
sheridan correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
stateville correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
taylorville correctional center,0,1,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
vandalia correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
vienna correctional center,0,0,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
western illinois correctional center,0,1,2025-08-29,2025-08-29 22:35:42.647875-05:00,Shift 3
big muddy river correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
centralia correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
danville correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
decatur correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
dixon correctional center,1,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
east moline correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
graham correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
hill correctional center,1,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
illinois river correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
lawrence correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
lincoln correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
logan correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
menard correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
joliet treatment center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
robinson correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
shawnee correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
sheridan correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
stateville correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
taylorville correctional center,0,1,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
vandalia correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
vienna correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
western illinois correctional center,0,0,2025-08-29,2025-08-29 23:27:13.279602-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
