URL,Full Lockdown,Partial Lockdown,Date,Time,Shift
western illinois correctional center,0,0,2025-08-30,2025-08-30 00:21:53.943534-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 01:31:31.301221-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 02:20:03.512113-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 03:28:06.594867-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 04:21:52.886330-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 05:22:29.023983-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
centralia correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
danville correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
decatur correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
dixon correctional center,1,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
east moline correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
graham correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
hill correctional center,1,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
illinois river correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
jacksonville correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
lawrence correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
lincoln correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
logan correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
menard correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
joliet treatment center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
robinson correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
shawnee correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
sheridan correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
stateville correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
taylorville correctional center,0,1,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
vandalia correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
vienna correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
western illinois correctional center,0,0,2025-08-30,2025-08-30 06:18:05.268712-05:00,Shift 1
big muddy river correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
centralia correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
danville correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
decatur correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
dixon correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
east moline correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
graham correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
hill correctional center,1,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
illinois river correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
jacksonville correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
lawrence correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
lincoln correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
logan correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
menard correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
joliet treatment center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
robinson correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
shawnee correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
sheridan correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
stateville correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
taylorville correctional center,0,1,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
vandalia correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
vienna correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
western illinois correctional center,0,0,2025-08-30,2025-08-30 07:43:36.587576-05:00,Shift 2
big muddy river correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
centralia correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
danville correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
decatur correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
dixon correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
east moline correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
graham correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
hill correctional center,1,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
illinois river correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
jacksonville correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
lawrence correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
lincoln correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
logan correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
menard correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
joliet treatment center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
robinson correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
shawnee correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
sheridan correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
stateville correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
taylorville correctional center,0,1,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
vandalia correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
vienna correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
western illinois correctional center,0,0,2025-08-30,2025-08-30 08:26:10.444433-05:00,Shift 2
big muddy river correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
centralia correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
danville correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
decatur correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
dixon correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
east moline correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
graham correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
hill correctional center,1,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
illinois river correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
jacksonville correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
lawrence correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
lincoln correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
logan correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
menard correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
pinckneyville correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
joliet treatment center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
robinson correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
shawnee correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
sheridan correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
southwestern illinois correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
stateville correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
taylorville correctional center,0,1,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
vandalia correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
vienna correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
western illinois correctional center,0,0,2025-08-30,2025-08-30 09:19:44.577148-05:00,Shift 2
